"MORALES DASSO JOSE RAIMUNDO","PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO",2005-03-14,2008-02-29,"ALICORP S.A.A.",DIRECTOR,2008-03-31,2010-03-31,"0 años, 1 meses, 2 días."
"MORALES DASSO JOSE RAIMUNDO","PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO",2005-03-14,2008-02-29,"ALICORP S.A.A.",DIRECTOR,2010-04-01,"A la actualidad","2 años, 1 meses, 3 días."
"ROMERO PAOLETTI DIONISIO","PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO",2009-03-26,2010-03-03,"ALICORP S.A.A.","PRESIDENTE DEL DIRECTORIO",2010-04-01,"A la actualidad","0 años, 0 meses, 29 días."
"ROMERO PAOLETTI DIONISIO","PRIMA AFP S.A.",DIRECTOR,2009-03-02,2009-03-26,"ALICORP S.A.A.","PRESIDENTE DEL DIRECTORIO",2010-04-01,"A la actualidad","1 años, 0 meses, 6 días."
"DE OSMA BERCKEMEYER OSCAR JAVIER","AFP INTEGRA",DIRECTOR,2001-07-12,2003-01-21,"AMERIKA FINANCIERA S.A.","PRESIDENTE DEL DIRECTORIO",2010-03-22,2010-04-20,"7 años, 2 meses, 1 días."
"DE OSMA BERCKEMEYER OSCAR JAVIER","AFP INTEGRA",DIRECTOR,2001-07-12,2003-01-21,"AMERIKA FINANCIERA S.A.",DIRECTOR,2010-04-20,2010-04-20,"7 años, 2 meses, 30 días."
"DE OSMA BERCKEMEYER OSCAR JAVIER","AFP INTEGRA",DIRECTOR,2001-07-12,2003-01-21,"AMERIKA FINANCIERA S.A.","PRESIDENTE DEL DIRECTORIO",2010-04-20,2011-03-23,"7 años, 2 meses, 30 días."
"DE OSMA BERCKEMEYER OSCAR JAVIER","AFP INTEGRA",DIRECTOR,2001-07-12,2003-01-21,"AMERIKA FINANCIERA S.A.","PRESIDENTE DEL DIRECTORIO",2011-03-23,2011-12-07,"8 años, 2 meses, 2 días."
"HUME HURTADO MARIA JESUS","AFP INTEGRA",DIRECTOR,2007-01-19,2008-01-25,"AUSTRAL GROUP S.A.A.",DIRECTOR,2008-04-10,2011-04-15,"0 años, 2 meses, 16 días."
"HUME HURTADO MARIA JESUS","AFP INTEGRA","PRESIDENTE DEL DIRECTORIO",2010-12-17,2011-01-12,"AUSTRAL GROUP S.A.A.",DIRECTOR,2011-04-15,2014-04-09,"0 años, 3 meses, 3 días."
"HUME HURTADO MARIA JESUS","AFP INTEGRA",DIRECTOR,2010-01-22,2010-12-17,"AUSTRAL GROUP S.A.A.",DIRECTOR,2011-04-15,2014-04-09,"0 años, 3 meses, 29 días."
"HUME HURTADO MARIA JESUS","AFP INTEGRA",DIRECTOR,2008-01-25,2010-01-22,"AUSTRAL GROUP S.A.A.",DIRECTOR,2011-04-15,2014-04-09,"1 años, 2 meses, 24 días."
"HUME HURTADO MARIA JESUS","AFP INTEGRA",DIRECTOR,2007-01-19,2008-01-25,"AUSTRAL GROUP S.A.A.",DIRECTOR,2011-04-15,2014-04-09,"3 años, 2 meses, 21 días."
"HUME HURTADO MARIA JESUS","AFP INTEGRA","PRESIDENTE DEL DIRECTORIO",2010-12-17,2011-01-12,"AUSTRAL GROUP S.A.A.",DIRECTOR,2014-04-09,2017-04-10,"3 años, 2 meses, 28 días."
"HUME HURTADO MARIA JESUS","AFP INTEGRA",DIRECTOR,2010-01-22,2010-12-17,"AUSTRAL GROUP S.A.A.",DIRECTOR,2014-04-09,2017-04-10,"3 años, 3 meses, 23 días."
"HUME HURTADO MARIA JESUS","AFP INTEGRA",DIRECTOR,2008-01-25,2010-01-22,"AUSTRAL GROUP S.A.A.",DIRECTOR,2014-04-09,2017-04-10,"4 años, 2 meses, 18 días."
"HUME HURTADO MARIA JESUS","AFP INTEGRA",DIRECTOR,2007-01-19,2008-01-25,"AUSTRAL GROUP S.A.A.",DIRECTOR,2014-04-09,2017-04-10,"6 años, 2 meses, 15 días."
"HUME HURTADO MARIA JESUS","AFP INTEGRA","PRESIDENTE DEL DIRECTORIO",2016-01-26,2017-01-25,"AUSTRAL GROUP S.A.A.",DIRECTOR,2017-04-10,"A la actualidad","0 años, 2 meses, 16 días."
"HUME HURTADO MARIA JESUS","AFP INTEGRA","PRESIDENTE DEL DIRECTORIO",2015-01-19,2016-01-26,"AUSTRAL GROUP S.A.A.",DIRECTOR,2017-04-10,"A la actualidad","1 años, 2 meses, 15 días."
"HUME HURTADO MARIA JESUS","AFP INTEGRA","PRESIDENTE DEL DIRECTORIO",2011-01-12,2015-01-19,"AUSTRAL GROUP S.A.A.",DIRECTOR,2017-04-10,"A la actualidad","2 años, 2 meses, 22 días."
