"ROMERO PAOLETTI DIONISIO","ALICORP S.A.A.","VICEPRESIDENTE DEL DIRECTORIO",2001-03-28,2002-04-26,"PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO",2009-03-26,2010-03-03,"6 años, 11 meses, 0 días."
"ROMERO PAOLETTI DIONISIO","ALICORP S.A.A.","VICEPRESIDENTE DEL DIRECTORIO",2001-03-28,2002-04-26,"PRIMA AFP S.A.",DIRECTOR,2009-03-02,2009-03-26,"6 años, 10 meses, 4 días."
"HUME HURTADO MARIA JESUS","AUSTRAL GROUP S.A.A.",DIRECTOR,2005-08-09,2008-04-10,"AFP INTEGRA","PRESIDENTE DEL DIRECTORIO",2017-01-25,"A la actualidad","8 años, 9 meses, 15 días."
"HUME HURTADO MARIA JESUS","AUSTRAL GROUP S.A.A.",DIRECTOR,2005-08-09,2008-04-10,"AFP INTEGRA","PRESIDENTE DEL DIRECTORIO",2016-01-26,2017-01-25,"7 años, 9 meses, 16 días."
"HUME HURTADO MARIA JESUS","AUSTRAL GROUP S.A.A.",DIRECTOR,2005-08-09,2008-04-10,"AFP INTEGRA","PRESIDENTE DEL DIRECTORIO",2015-01-19,2016-01-26,"6 años, 9 meses, 9 días."
"HUME HURTADO MARIA JESUS","AUSTRAL GROUP S.A.A.",DIRECTOR,2005-08-09,2008-04-10,"AFP INTEGRA","PRESIDENTE DEL DIRECTORIO",2011-01-12,2015-01-19,"2 años, 9 meses, 2 días."
"HUME HURTADO MARIA JESUS","AUSTRAL GROUP S.A.A.",DIRECTOR,2005-08-09,2008-04-10,"AFP INTEGRA","PRESIDENTE DEL DIRECTORIO",2010-12-17,2011-01-12,"2 años, 8 meses, 7 días."
"HUME HURTADO MARIA JESUS","AUSTRAL GROUP S.A.A.",DIRECTOR,2005-08-09,2008-04-10,"AFP INTEGRA",DIRECTOR,2010-01-22,2010-12-17,"1 años, 9 meses, 12 días."
"HUME HURTADO MARIA JESUS","AUSTRAL GROUP S.A.A.",DIRECTOR,2008-04-10,2011-04-15,"AFP INTEGRA","PRESIDENTE DEL DIRECTORIO",2017-01-25,"A la actualidad","5 años, 9 meses, 10 días."
"HUME HURTADO MARIA JESUS","AUSTRAL GROUP S.A.A.",DIRECTOR,2008-04-10,2011-04-15,"AFP INTEGRA","PRESIDENTE DEL DIRECTORIO",2016-01-26,2017-01-25,"4 años, 9 meses, 11 días."
"HUME HURTADO MARIA JESUS","AUSTRAL GROUP S.A.A.",DIRECTOR,2008-04-10,2011-04-15,"AFP INTEGRA","PRESIDENTE DEL DIRECTORIO",2015-01-19,2016-01-26,"3 años, 9 meses, 4 días."
"HUME HURTADO MARIA JESUS","AUSTRAL GROUP S.A.A.",DIRECTOR,2011-04-15,2014-04-09,"AFP INTEGRA","PRESIDENTE DEL DIRECTORIO",2017-01-25,"A la actualidad","2 años, 9 meses, 16 días."
"HUME HURTADO MARIA JESUS","AUSTRAL GROUP S.A.A.",DIRECTOR,2011-04-15,2014-04-09,"AFP INTEGRA","PRESIDENTE DEL DIRECTORIO",2016-01-26,2017-01-25,"1 años, 9 meses, 17 días."
"HUME HURTADO MARIA JESUS","AUSTRAL GROUP S.A.A.",DIRECTOR,2011-04-15,2014-04-09,"AFP INTEGRA","PRESIDENTE DEL DIRECTORIO",2015-01-19,2016-01-26,"0 años, 9 meses, 10 días."
"SANCHEZ CARRION TRONCON EDUARDO JOSE","BANCO DE COMERCIO",DIRECTOR,2016-10-18,2017-03-15,"PROFUTURO AFP",DIRECTOR,2017-03-27,"A la actualidad","0 años, 0 meses, 12 días."
"ROMERO PAOLETTI DIONISIO","BANCO DE CREDITO DEL PERU",DIRECTOR,2003-03-28,2008-03-28,"PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO",2009-03-26,2010-03-03,"0 años, 11 meses, 26 días."
